"anonym_id","gender","title","discipline","last_published","academia_length","phd_dissertation"
98,"Woman","Full Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
99,"Woman","Associate Professor","Non-STEM","In the last year","More than 10 years",NA
100,"Woman","Post Doc","Non-STEM","In the last year","6-10 years",NA
101,"Woman","Assistant Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
102,"Woman","Associate Professor","Non-STEM","In the last year","More than 10 years",NA
103,"Woman","Associate Professor","Non-STEM","This year","More than 10 years",NA
104,"Woman","Full Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
105,"Woman","This does not apply to me","Non-STEM","This year","Less than 1 year",NA
106,"Woman","Post Doc","STEM (science, technology, engineering, mathematics)","This year","6-10 years",NA
107,"Woman","Associate Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
108,"Man","Full Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
109,"Woman","Full Professor","Non-STEM","This year","More than 10 years",NA
110,"Man","Associate Professor","STEM (science, technology, engineering, mathematics)","In the last year","6-10 years",NA
111,"Woman","Post Doc","Non-STEM","This year","More than 10 years",NA
112,"Woman","Associate Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
113,"Man","Associate Professor","STEM (science, technology, engineering, mathematics)","In the last year","More than 10 years",NA
114,"Woman","Full Professor","Non-STEM","This year","More than 10 years",NA
115,"Woman","Associate Professor","Non-STEM","This year","More than 10 years",NA
116,"Woman","Post Doc","Non-STEM","In the last year","6-10 years",NA
117,"Man","PhD student","STEM (science, technology, engineering, mathematics)","This year","1-5 years","3-4 articles"
118,"Man","Associate Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
119,"Man","PhD student","STEM (science, technology, engineering, mathematics)","In the last year","1-5 years","1-2 articles"
120,"Woman","PhD student","STEM (science, technology, engineering, mathematics)","This year","6-10 years","3-4 articles"
121,"Woman","Post Doc","Non-STEM","This year","6-10 years",NA
122,"Woman","Post Doc","Non-STEM","This year","6-10 years",NA
123,"Woman","PhD student","STEM (science, technology, engineering, mathematics)","This year","1-5 years","1-2 articles"
124,"Man","Associate Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
125,"Woman","Associate Professor","Non-STEM","This year","More than 10 years",NA
126,"Man","Assistant Professor","STEM (science, technology, engineering, mathematics)","This year","6-10 years",NA
127,"Woman","PhD student","STEM (science, technology, engineering, mathematics)","This year","1-5 years","More than 4 articles"
128,"Woman","Associate Professor","STEM (science, technology, engineering, mathematics)","In the last year","More than 10 years",NA
129,"Woman","Associate Professor","Non-STEM","This year","6-10 years",NA
130,"Woman","Post Doc","Non-STEM","This year","1-5 years",NA
131,"Man","Associate Professor","STEM (science, technology, engineering, mathematics)","In the last year","More than 10 years",NA
132,"Woman","Associate Professor","Non-STEM","This year","More than 10 years",NA
